Lactobacillus plantarum plantarum wikim18 ,,JMEL00000000.1
Lactobacillus plantarum INF15D ,,
Lactobacillus plantarum plantarum JCM 1149 ,,
Lactobacillus plantarum Lp90 ,,ERROR NCBI
Lactobacillus plantarum LP91 ,,AXDQ00000000.1
Lactobacillus plantarum WHE 92 ,,AWOY00000000.1
Lactobacillus plantarum WJL ,,NZ_LKLZ01000013.1
Lactobacillus plantarum LP91 ,,NZ_AXDQ00000000.1
Lactobacillus plantarum CMPG5300 ,,AXZV00000000.1
Lactobacillus plantarum 2025 ,,AVFJ00000000.2
Lactobacillus plantarum 2165 ,,NZ_AVFI00000000.1
Lactobacillus plantarum 19L3 ,,AWTS00000000.1
Lactobacillus plantarum EGD-AQ4 ,,NZ_AVAQ01000052.1
Lactobacillus plantarum 4_3 ,,AYTU00000000.1
Lactobacillus plantarum AY01 ,,AVAI00000000.1
Lactobacillus plantarum CMPG5300 ,,
Lactobacillus plantarum IPLA88 ,,NZ_ASJE00000000.1
Lactobacillus plantarum 16 ,,
Lactobacillus plantarum plantarum CCM 1904 ,,
Lactobacillus plantarum DOMLa ,,CP004406.1
Lactobacillus plantarum UCMA 3037 ,,APHP01000012.1
Lactobacillus plantarum AG30 ,,NZ_JHWA00000000.1
Lactobacillus plantarum ZJ316 ,,
Lactobacillus plantarum B7 ,,
Lactobacillus plantarum XB7 ,,
Lactobacillus plantarum plantarum R0403 ,,
Lactobacillus plantarum B67 ,,
Lactobacillus plantarum plantarum NC8 ,,AGRI00000000.1
Lactobacillus plantarum VBLLa 11-47 ,,
Lactobacillus plantarum VBLLa 17-09 ,,
Lactobacillus plantarum plantarum ST-III ,,
Lactobacillus plantarum plantarum P8 ,,
Lactobacillus plantarum Lp299v ,,
Lactobacillus plantarum JDM1 ,,
Lactobacillus plantarum ATCC 14917 ,,KT025937.1
Lactobacillus plantarum WCFS1 ,,
,,
shermanii CIRM-BIA1(helene),,FN806773
DSM 20271,, AF280075.1
,,
Drafts,,
PFCIRM9 ,,
CIRM-BIA 118,,CCYN00000000.1
CIRM-BIA 119,,CCYS00000000.1
CIRM-BIA 121,,CCYR00000000.1
CIRM-BIA 122,,CCYP00000000.1
CIRM-BIA 123,,CCYQ00000000.1
CIRM-BIA 125 (ITG P14),,CCYW00000000.1
CIRM-BIA 127 (ITG P18),,CCYU00000000.1
CIRM-BIA 129 (ITG P20),,CCBE000000000.1
CIRM-BIA 134,,CCYY00000000.1
CIRM-BIA 135,,CCYZ00000000.1
CIRM-BIA 138 (ITG P9),,
CIRM-BIA 139 (ITG P23),,CCYX00000000.1
CIRM-BIA 456,,CDAG00000000.1
CIRM-BIA 508,,CDAF00000000.1
CIRM-BIA 512,,CDAH00000000.1
CIRM-BIA 513,,CDAE00000000.1
CIRM-BIA 514,,CDAD00000000.1
CIRM-BIA 516,,CDAB00000000.1
CIRM-BIA 527,,CDAC00000000.1
CIRM-BIA 1025 (ITG P1),,CCYV00000000.1
